"Recent Posts","Recente opleidingen"
"Archive","Archief"
"Training","Opleidingen"
"No trainings found.","Geen opleidingen gevonden."
"Go to Home Page","Ga naar home"
"Monthly Archives: %s %s","Maandelijks archief: %s %s"
"Category: %s","Categorie: %s"
"Brand: %s","Merken: %s"
"Related Trainings","Gerelateerde opleidingen"
"Subscribe","Inschrijven"
"Name","Naam"
"Email","E-mailadres"
"Message","Bericht"
"Thank you for your subscription","Bedankt voor uw inschrijving"
"New subscription at your training","Er is een nieuwe inschrijving geplaatst op uw opleiding"
"We can't process your subscription right now. Sorry, that's all we know.","We kunnen op dit ogenblik uw inschrijving niet verwerken."
"Monthly Archive","Archief"
